ano,cnae_divisao,emprego_nacional
2021,05,3446
2021,06,21510
2021,07,102146
2021,08,87971
2021,09,28920
2021,10,1670372
2021,11,122957
2021,12,11107
2021,13,266620
2021,14,523039
2021,15,321772
2021,16,174839
2021,17,184056
2021,18,89749
2021,19,154287
2021,20,290007
2021,21,109033
2021,22,428773
2021,23,400573
2021,24,220038
2021,25,448916
2021,26,122555
2021,27,201757
2021,28,383843
2021,29,425003
2021,30,62262
2021,31,250778
2021,32,161133
2021,33,232765
2021,35,131729
2021,36,130048
2021,37,13128
2021,38,237185
2021,39,1890
2021,41,910451
2021,42,670133
2021,43,732949
2021,45,953519
2021,46,1798419
2021,47,6702718
2021,49,1694653
2021,50,42416
2021,51,49999
2021,52,444890
2021,53,153688
2021,55,305113
2021,56,1397219
2021,58,56519
2021,59,25217
2021,60,76622
2021,61,260856
2021,62,531957
2021,63,114722
2021,64,664173
2021,65,179138
2021,66,170813
2021,68,177425
2021,69,477191
2021,70,134821
2021,71,316774
2021,72,50770
2021,73,127992
2021,74,141026
2021,75,25076
2021,77,242992
2021,78,750397
2021,79,47795
2021,80,620209
2021,81,1553244
2021,82,1647504
2021,84,8991082
2021,85,1976724
2021,86,2455300
2021,87,126050
2021,88,137049
2021,90,10995
2021,91,6046
2021,92,758
2021,93,211894
2021,94,727472
2021,95,83862
2021,96,202026
2021,97,1397
2021,99,2793
2022,01,1601974
2022,02,128779
2022,03,20670
2022,05,3616
2022,06,21205
2022,07,102632
2022,08,93702
2022,09,34975
2022,10,1805840
2022,11,129802
2022,12,11002
2022,13,265412
2022,14,555708
2022,15,352608
2022,16,177714
2022,17,194726
2022,18,98338
2022,19,161491
2022,20,305740
2022,21,115189
2022,22,446621
2022,23,420038
2022,24,229470
2022,25,499539
2022,26,126813
2022,27,205949
2022,28,402160
2022,29,442245
2022,30,78432
2022,31,258518
2022,32,177223
2022,33,276293
2022,35,132518
2022,36,137295
2022,37,15183
2022,38,251948
2022,39,1874
2022,41,1038418
2022,42,740526
2022,43,888606
2022,45,1046788
2022,46,1952581
2022,47,7057484
2022,49,1843755
2022,50,44971
2022,51,52563
2022,52,488287
2022,53,158728
2022,55,346221
2022,56,1686637
2022,58,56945
2022,59,29028
2022,60,78345
2022,61,275069
2022,62,598690
2022,63,136981
2022,64,682101
2022,65,186668
2022,66,185498
2022,68,188157
2022,69,530772
2022,70,164831
2022,71,380373
2022,72,55419
2022,73,166993
2022,74,159892
2022,75,32194
2022,77,293764
2022,78,860507
2022,79,61274
2022,80,683402
2022,81,1699261
2022,82,1861685
2022,84,8711475
2022,85,2628355
2022,86,2707846
2022,87,146810
2022,88,166508
2022,90,14820
2022,91,7877
2022,92,616
2022,93,255462
2022,94,826829
2022,95,84947
2022,96,238096
2022,97,1283
2022,99,3284
2023,01,1629139
2023,02,133681
2023,03,20802
2023,05,3192
2023,06,23388
2023,07,108458
2023,08,95604
2023,09,39145
2023,10,1856188
2023,11,134075
2023,12,11986
2023,13,262709
2023,14,531545
2023,15,330487
2023,16,173583
2023,17,194768
2023,18,100755
2023,19,171365
2023,20,320010
2023,21,115671
2023,22,458838
2023,23,411784
2023,24,224790
2023,25,512288
2023,26,120388
2023,27,208642
2023,28,398199
2023,29,447080
2023,30,86167
2023,31,258928
2023,32,180337
2023,33,295815
2023,35,133361
2023,36,138506
2023,37,16740
2023,38,259400
2023,39,1859
2023,41,1093981
2023,42,801113
2023,43,954080
2023,45,1085128
2023,46,2063040
2023,47,7082340
2023,49,1932187
2023,50,48091
2023,51,54149
2023,52,504885
2023,53,153049
2023,55,360557
2023,56,1791863
2023,58,55095
2023,59,27959
2023,60,77084
2023,61,275771
2023,62,622383
2023,63,133692
2023,64,697767
2023,65,189605
2023,66,184666
2023,68,199966
2023,69,534423
2023,70,179249
2023,71,407538
2023,72,57437
2023,73,184334
2023,74,164974
2023,75,34975
2023,77,333415
2023,78,919651
2023,79,67045
2023,80,721214
2023,81,1683689
2023,82,2083790
2023,84,9660431
2023,85,3239528
2023,86,2893835
2023,87,159314
2023,88,175126
2023,90,18183
2023,91,9638
2023,92,902
2023,93,279243
2023,94,881468
2023,95,82100
2023,96,242723
2023,97,969
2023,99,4689
