ano,id_municipio,cnae_divisao,vinculos_ativos
2017,4106902,55,4120
2017,4106902,56,34287
2017,4106902,58,4033
2017,4106902,59,476
2017,4106902,60,1596
2017,4106902,61,9963
2017,4106902,62,9444
2017,4106902,63,3078
2017,4106902,64,17854
2017,4106902,65,5114
2017,4106902,66,2082
2017,4106902,68,3776
2017,4106902,69,11102
2017,4106902,70,3154
2017,4106902,71,4533
2017,4106902,72,693
2017,4106902,73,2259
2017,4106902,74,1676
2017,4106902,75,267
2017,4106902,77,4209
2017,4106902,78,15575
2017,4106902,79,1864
2017,4106902,80,21558
2017,4106902,81,40729
2017,4106902,82,34943
2017,4106902,84,192905
2017,4106902,85,43798
2017,4106902,86,41345
2017,4106902,87,1585
2017,4106902,88,4845
2017,4106902,90,411
2017,4106902,91,328
2017,4106902,92,14
2017,4106902,93,5250
2017,4106902,94,17475
2017,4106902,95,2090
2017,4106902,96,2828
2017,4106902,97,29
2017,4106902,99,18
2018,4106902,01,692
2018,4106902,02,395
2018,4106902,05,1
2018,4106902,07,5
2018,4106902,08,69
2018,4106902,09,29
2018,4106902,10,8235
2018,4106902,11,1024
2018,4106902,13,1465
2018,4106902,14,1635
2018,4106902,15,715
2018,4106902,16,1379
2018,4106902,17,3240
2018,4106902,18,1958
2018,4106902,19,64
2018,4106902,20,2681
2018,4106902,21,146
2018,4106902,22,3385
2018,4106902,23,1729
2018,4106902,24,1791
2018,4106902,25,4149
2018,4106902,26,3278
2018,4106902,27,6040
2018,4106902,28,6804
2018,4106902,29,9991
2018,4106902,30,68
2018,4106902,31,1596
2018,4106902,32,2501
2018,4106902,33,3273
2018,4106902,35,7530
2018,4106902,36,7289
2018,4106902,37,147
2018,4106902,38,3803
2018,4106902,39,30
2018,4106902,41,12711
2018,4106902,42,14280
2018,4106902,43,12145
2018,4106902,45,18128
2018,4106902,46,23283
2018,4106902,47,103427
2018,4106902,49,27313
2018,4106902,50,22
2018,4106902,51,415
2018,4106902,52,10845
2018,4106902,53,3812
2018,4106902,55,4258
2018,4106902,56,34225
2018,4106902,58,4146
2018,4106902,59,503
2018,4106902,60,1602
2018,4106902,61,9012
2018,4106902,62,10670
2018,4106902,63,3737
2018,4106902,64,17508
2018,4106902,65,5506
2018,4106902,66,2145
2018,4106902,68,3884
2018,4106902,69,11263
2018,4106902,70,4201
2018,4106902,71,4528
2018,4106902,72,467
2018,4106902,73,2835
2018,4106902,74,1725
2018,4106902,75,316
2018,4106902,77,4272
2018,4106902,78,16251
2018,4106902,79,1885
2018,4106902,80,19313
2018,4106902,81,44210
2018,4106902,82,40066
2018,4106902,84,197689
2018,4106902,85,44148
2018,4106902,86,44370
2018,4106902,87,1750
2018,4106902,88,3354
2018,4106902,90,487
2018,4106902,91,356
2018,4106902,92,19
2018,4106902,93,5551
2018,4106902,94,19383
2018,4106902,95,1921
2018,4106902,96,2828
2018,4106902,97,9
2018,4106902,99,19
2019,4106902,01,604
2019,4106902,02,261
2019,4106902,05,1
2019,4106902,07,2
2019,4106902,08,54
2019,4106902,09,30
2019,4106902,10,8310
2019,4106902,11,1045
2019,4106902,13,1395
2019,4106902,14,1623
2019,4106902,15,699
2019,4106902,16,1311
2019,4106902,17,2201
2019,4106902,18,2046
2019,4106902,19,177
2019,4106902,20,2580
2019,4106902,21,131
2019,4106902,22,3230
2019,4106902,23,1854
2019,4106902,24,100
2019,4106902,25,4441
2019,4106902,26,3020
2019,4106902,27,5932
2019,4106902,28,6832
2019,4106902,29,9188
2019,4106902,30,61
2019,4106902,31,1624
2019,4106902,32,2826
2019,4106902,33,3707
2019,4106902,35,7025
2019,4106902,36,7248
2019,4106902,37,170
2019,4106902,38,4208
2019,4106902,39,30
2019,4106902,41,14469
2019,4106902,42,13586
2019,4106902,43,11538
2019,4106902,45,18473
2019,4106902,46,23821
2019,4106902,47,104405
2019,4106902,49,28120
2019,4106902,50,23
2019,4106902,51,428
2019,4106902,52,7385
2019,4106902,53,3726
2019,4106902,55,4185
2019,4106902,56,35019
2019,4106902,58,3811
2019,4106902,59,557
2019,4106902,60,1537
2019,4106902,61,9332
2019,4106902,62,11725
2019,4106902,63,3897
2019,4106902,64,17698
2019,4106902,65,5855
2019,4106902,66,2345
2019,4106902,68,4156
2019,4106902,69,10813
2019,4106902,70,4080
2019,4106902,71,5268
2019,4106902,72,456
2019,4106902,73,3412
2019,4106902,74,2335
2019,4106902,75,327
2019,4106902,77,5144
2019,4106902,78,19278
2019,4106902,79,2029
2019,4106902,80,21001
2019,4106902,81,41421
2019,4106902,82,44587
2019,4106902,84,203782
2019,4106902,85,43610
2019,4106902,86,44186
2019,4106902,87,1831
2019,4106902,88,3270
2019,4106902,90,398
2019,4106902,91,285
2019,4106902,92,17
2019,4106902,93,5790
2019,4106902,94,19747
2019,4106902,95,3073
2019,4106902,96,2947
2019,4106902,97,18
2019,4106902,99,19
2020,4106902,01,634
2020,4106902,02,304
2020,4106902,05,1
2020,4106902,08,61
2020,4106902,09,28
2020,4106902,10,9718
2020,4106902,11,1258
2020,4106902,13,1245
2020,4106902,14,1484
2020,4106902,15,661
2020,4106902,16,1293
2020,4106902,17,2252
2020,4106902,18,1723
2020,4106902,19,138
2020,4106902,20,2779
2020,4106902,21,118
2020,4106902,22,3555
2020,4106902,23,1978
2020,4106902,24,108
2020,4106902,25,4657
2020,4106902,26,3304
2020,4106902,27,6257
2020,4106902,28,7469
2020,4106902,29,9545
2020,4106902,30,59
2020,4106902,31,1373
2020,4106902,32,2484
2020,4106902,33,3112
2020,4106902,35,6599
2020,4106902,36,6672
2020,4106902,37,174
2020,4106902,38,3939
2020,4106902,39,37
2020,4106902,41,15045
2020,4106902,42,21225
2020,4106902,43,11455
2020,4106902,45,16989
2020,4106902,46,23838
2020,4106902,47,98766
2020,4106902,49,26766
2020,4106902,50,20
2020,4106902,51,391
2020,4106902,52,5561
2020,4106902,53,3633
2020,4106902,55,2970
2020,4106902,56,26623
2020,4106902,58,3036
2020,4106902,59,397
2020,4106902,60,1479
2020,4106902,61,9516
2020,4106902,62,12408
2020,4106902,63,4116
2020,4106902,64,16718
2020,4106902,65,6383
2020,4106902,66,2215
2020,4106902,68,4092
2020,4106902,69,10634
2020,4106902,70,5021
2020,4106902,71,5165
2020,4106902,72,1019
2020,4106902,73,2839
2020,4106902,74,2696
2020,4106902,75,382
2020,4106902,77,5055
2020,4106902,78,27060
2020,4106902,79,1333
2020,4106902,80,20436
2020,4106902,81,40596
2020,4106902,82,44154
2020,4106902,84,180761
2020,4106902,85,39264
2020,4106902,86,45400
2020,4106902,87,1866
2020,4106902,88,2564
2020,4106902,90,526
2020,4106902,91,95
2020,4106902,92,31
2020,4106902,93,5060
2020,4106902,94,18517
2020,4106902,95,1946
2020,4106902,96,2696
2020,4106902,97,7
2020,4106902,99,21
2021,4106902,01,680
2021,4106902,02,287
2021,4106902,03,1
2021,4106902,05,1
2021,4106902,06,1
2021,4106902,08,77
2021,4106902,09,26
2021,4106902,10,9960
2021,4106902,11,1253
2021,4106902,13,1231
2021,4106902,14,1540
2021,4106902,15,815
2021,4106902,16,1355
2021,4106902,17,2601
2021,4106902,18,1816
2021,4106902,19,93
2021,4106902,20,2802
2021,4106902,21,156
2021,4106902,22,3789
2021,4106902,23,2453
2021,4106902,24,114
2021,4106902,25,5023
2021,4106902,26,3633
2021,4106902,27,7206
2021,4106902,28,8258
2021,4106902,29,10639
2021,4106902,30,69
2021,4106902,31,1554
2021,4106902,32,3153
2021,4106902,33,3565
2021,4106902,35,6551
2021,4106902,36,6573
2021,4106902,37,204
2021,4106902,38,5412
2021,4106902,39,46
2021,4106902,41,15805
2021,4106902,42,20900
2021,4106902,43,12251
2021,4106902,45,17777
2021,4106902,46,24719
2021,4106902,47,100858
2021,4106902,49,26832
2021,4106902,50,24
2021,4106902,51,387
2021,4106902,52,5727
2021,4106902,53,3431
2021,4106902,55,3032
2021,4106902,56,28626
2021,4106902,58,2964
2021,4106902,59,427
2021,4106902,60,1453
2021,4106902,61,8945
